i,bw
1,8.244012
2,16.176725
4,29.269406
8,55.797610
16,101.532493
32,173.749087
64,263.295939
128,359.409057
256,441.041505
512,396.062907
1024,373.823987
2048,362.515556
4096,334.740844
8192,329.223062
16384,334.740844
32768,332.617126
65536,329.223062
131072,330.520307
262144,333.145586
524288,327.936103
1048576,328.449687
2097152,324.385315
4194304,331.565487
8388608,330.520307
16777216,328.964882
33554432,323.634383
67108864,331.303524
134217728,333.410398
268435456,327.168661
