Epoch,Test Loss,test_accuracy,layer_time,total_time
1,1.4872859497070312,44.8,9.958712577819824,9.958712577819824
2,1.34378798828125,50.85,8.765032052993774,18.7237446308136
3,1.2338997131347655,55.8,11.6813063621521,30.4050509929657
4,1.2023054260253907,57.65,9.564341306686401,39.9693922996521
5,1.0367736022949219,62.53,9.012134552001953,48.98152685165405
6,0.992401220703125,63.97,9.178818464279175,58.16034531593323
7,0.9488551086425782,65.74,9.277315855026245,67.43766117095947
8,0.88207490234375,68.23,8.591763973236084,76.02942514419556
9,0.8990597412109375,68.81,13.338741302490234,89.36816644668579
10,0.8581631286621094,69.62,13.36651349067688,102.73467993736267
11,0.8249631774902344,70.47,9.254353284835815,111.98903322219849
12,0.9099940124511718,69.9,13.337100505828857,125.32613372802734
13,0.7787948791503906,73.32,8.972248077392578,134.29838180541992
14,0.7699017578125,73.59,12.234538555145264,146.53292036056519
15,0.7213835510253906,75.03,10.48655080795288,157.01947116851807
16,0.7922496887207031,73.7,9.325366258621216,166.34483742713928
17,0.7017410339355469,75.06,13.352377653121948,179.69721508026123
18,0.6859549560546875,76.76,8.623260736465454,188.32047581672668
19,0.6963877502441407,76.79,8.930908441543579,197.25138425827026
20,0.6772834350585938,77.19,8.983161687850952,206.23454594612122
21,0.6656485412597656,78.24,9.267951250076294,215.5024971961975
22,0.6830041259765625,77.63,9.234142303466797,224.7366394996643
23,0.69386171875,77.53,8.99885892868042,233.73549842834473
24,0.7187257598876953,78.01,12.048508167266846,245.78400659561157
25,0.6887391632080078,78.29,10.914860725402832,256.6988673210144
26,0.708808447265625,78.17,13.359940528869629,270.05880784988403
27,0.7514356994628906,77.77,9.164491415023804,279.22329926490784
28,0.7478896789550781,78.36,13.329732179641724,292.55303144454956
29,0.7853225952148437,77.74,13.362256288528442,305.915287733078
30,0.9057030578613281,77.64,10.561898231506348,316.47718596458435
31,0.801727685546875,78.9,11.2058744430542,327.68306040763855
32,0.8202189697265625,79.61,10.55086350440979,338.23392391204834
33,0.9243455200195313,77.79,9.024537086486816,347.25846099853516
34,0.9643762878417969,78.78,8.957380056381226,356.2158410549164
35,1.008769696044922,78.02,9.192993402481079,365.40883445739746
36,0.9881051086425782,79.14,8.86505389213562,374.2738883495331
37,1.0660989562988281,77.67,10.587897777557373,384.86178612709045
38,1.1512303344726562,76.3,11.21783971786499,396.07962584495544
39,1.2326232299804687,77.67,13.320021390914917,409.39964723587036
40,1.1419126831054687,78.61,9.175010681152344,418.5746579170227
41,1.0820572814941407,79.08,9.258625030517578,427.8332829475403
42,1.086783172607422,78.15,9.478020668029785,437.31130361557007
43,1.1715065795898438,78.8,13.3335599899292,450.64486360549927
44,1.2631184936523439,77.6,13.320964097976685,463.96582770347595
45,1.1078411987304688,77.4,8.804301023483276,472.77012872695923
46,1.3565102905273438,77.3,9.208583116531372,481.9787118434906
47,1.2439480407714845,77.5,9.058640241622925,491.0373520851135
48,1.2716473388671874,78.7,9.09502911567688,500.1323812007904
49,1.3524158264160155,78.25,8.86025094985962,508.99263215065
50,1.0885470825195311,78.46,8.87991714477539,517.8725492954254
