Epoch,Test Loss,Test Accuracy
1,2.3029496337890625,10.0
2,2.3028279541015624,10.0
3,2.3028648193359373,10.0
4,2.302883837890625,10.0
5,2.304096875,10.0
6,2.30296279296875,10.0
7,2.3033640869140624,10.0
8,2.3037416015625,10.0
9,2.3033577880859375,10.0
10,2.303176025390625,10.0
11,2.30302236328125,10.0
12,2.302822021484375,10.0
13,2.3030926025390626,10.0
14,2.3033861328125,10.0
15,2.3032064697265624,10.0
16,2.3034914794921875,10.0
17,2.302954541015625,10.0
18,2.3032723876953125,10.0
19,2.30313876953125,10.0
20,2.3030226318359377,10.0
21,2.3029926025390624,10.0
22,2.3028715576171876,10.0
23,2.302724658203125,10.0
24,2.3030171142578126,10.0
25,2.302948095703125,10.0
26,2.303348681640625,10.0
27,2.303279248046875,10.0
28,2.3029852783203126,10.0
29,2.3032390625,10.0
30,2.3032244873046874,10.0
