epoch,train_loss,test_loss,test_accuracy,train_time
1,0.014948216371536255,1.6624639282226563,35.37,11.160125255584717
2,0.012119904417991639,1.4162869873046875,46.69,11.035395383834839
3,0.010587190525531769,1.2212230407714844,55.13,10.702703952789307
4,0.009129598633050918,1.2352541870117189,54.96,9.361759424209595
5,0.008006835014820099,1.0270542053222655,63.66,9.737688779830933
6,0.007050592192411422,0.9279361877441407,66.98,9.010719299316406
7,0.006114037355184555,0.9109855346679687,68.88,10.338681936264038
8,0.00531404733479023,0.8672973571777344,71.04,10.033508062362671
9,0.004545403049588203,0.838150341796875,72.14,10.146376848220825
10,0.0038243901658058166,0.9226472595214844,71.19,9.462725400924683
11,0.003127572627365589,0.9382576232910156,70.96,9.765339136123657
12,0.0024650069001317023,1.0822819396972656,71.88,9.997500658035278
13,0.001935881601423025,0.9813149291992187,73.55,10.764913320541382
14,0.001552689059972763,1.095955450439453,72.39,11.14225459098816
15,0.0012140040002018213,1.2379098876953125,72.76,9.593912363052368
16,0.0010570072152093052,1.202036981201172,73.4,10.86530327796936
17,0.000851833862438798,1.3037275146484375,73.09,10.102872848510742
18,0.0006929985026270151,1.3332378051757812,73.47,10.046309232711792
19,0.0006657350619882345,1.3464663696289063,74.01,10.418081283569336
20,0.0005561853578872979,1.4048394653320313,74.13,10.012251615524292
21,0.0005069678078498691,1.4347696655273436,72.74,9.204253196716309
22,0.00047654568603262306,1.3938686279296875,73.97,10.461368083953857
23,0.0005051495375856757,1.449920263671875,73.48,10.223242998123169
24,0.00042490403128322214,1.4206223022460938,73.58,7.523229122161865
25,0.00041139993335586044,1.3999282165527345,72.78,10.460330486297607
26,0.0003513203453365713,1.6318574951171876,72.84,10.893913984298706
27,0.00037325416904408483,1.572879638671875,72.75,10.076584100723267
28,0.00036284686520230027,1.494678253173828,73.79,10.196125268936157
29,0.00034671559596899897,1.435438134765625,74.64,10.226855039596558
30,0.00038025582909118386,1.3819299072265625,73.95,9.564372301101685
31,0.00028730113721685486,1.4962731567382812,74.22,9.50488829612732
32,0.0003400965917040594,1.4405644287109376,74.67,9.954081773757935
33,0.000307010245854035,1.564485205078125,73.73,9.663410186767578
34,0.0003174885417474434,1.5193195678710938,74.18,9.042293071746826
35,0.00024781467979075386,1.5396841796875,74.54,8.776129007339478
36,0.00025879368061432613,1.4910651245117188,74.37,9.146866083145142
37,0.0002513039379392285,1.54275439453125,73.65,10.012227296829224
38,0.0002707586798630655,1.4110586242675782,74.62,7.328919887542725
39,0.0002427356314472854,1.5363529907226563,73.62,10.65206503868103
40,0.000237718293183716,1.5373266479492187,74.38,10.418276071548462
41,0.0002519954630266875,1.6158536376953125,73.97,10.117377519607544
42,0.00021845626150723547,1.54635390625,75.21,9.982624053955078
43,0.00022330755750415846,1.5115015625,74.55,10.815966844558716
44,0.0001905888782488182,1.5691871948242186,74.55,11.000921964645386
45,0.00023420368152670562,1.5569216796875,74.53,11.03141188621521
46,0.00022095899199252016,1.4334875,73.9,8.202376127243042
47,0.00020920338603900746,1.4794286743164062,75.26,10.284909963607788
48,0.0002285447121807374,1.4031714721679687,74.95,9.045839786529541
49,0.00017090654855594038,1.5551694091796875,74.47,9.684702634811401
50,0.0002123223260854138,1.5053161010742186,74.48,8.628077745437622
