epoch,train_loss,test_loss,test_accuracy,dropout_probability
1,0.015503539918904508,1.575105921505563,42.551475107559924,0.8
2,0.009594183888558972,0.808370416708057,73.37123540258143,0.8
3,0.005086651073863905,0.4762230757635359,85.5639213275968,0.8
4,0.003390295713985754,0.4874232438127908,85.23740012292564,0.8
5,0.002735983281695049,0.3658569086235436,89.49754148740013,0.8
6,0.002334111843365492,0.31450416181595986,91.24539028887523,0.8
7,0.0020334879070533014,0.31630581349922093,91.19161032575292,0.8
8,0.0017582063520083398,0.3186034001524491,91.32606023355869,0.8
9,0.0015332927645881679,0.29667776233225274,91.93300553165335,0.8
10,0.0013306147048978124,0.3112517804108885,91.5219729563614,0.8
11,0.0011648771235330073,0.3411917073930343,91.6602642901045,0.8
12,0.0010489529580457978,0.32059213290129546,91.83312845728334,0.8
13,0.0009241398874309368,0.3321698780212215,91.84465273509527,0.8
14,0.000775027956781486,0.3624646656338833,91.5181315304241,0.8
15,0.0007214399610157518,0.41254529794741057,91.00722188076215,0.8
16,0.0006613358790792149,0.3800036747468785,92.14428395820529,0.8
17,0.0005730956598626313,0.35518468635244904,92.01751690227412,0.8
18,0.0004916776118601644,0.3878145880250749,91.93684695759066,0.8
19,0.000461185204813643,0.4469978746345018,90.8881376767056,0.8
20,0.00041147331498341677,0.4463480091856972,91.76014136447449,0.8
21,0.00037349043626178107,0.408500629769708,92.09050399508297,0.8
22,0.0003417308714367361,0.442374045378457,92.10971112476952,0.8
23,0.0003355970703882491,0.4724807446180272,91.09941610325752,0.8
24,0.00031590456038036916,0.4864668497368098,91.38368162261831,0.8
25,0.0002769704600518768,0.47152532414563536,91.86770129071911,0.8
26,0.0002599438052789836,0.45132079180135415,92.14044253226798,0.8
27,0.00024803245397152056,0.45796394582606564,91.67947141979103,0.8
28,0.00022037637277456343,0.49770474683014837,91.99062692071297,0.8
29,0.00022331480540051853,0.5552396369844986,91.64489858635525,0.8
30,0.00021101702829225992,0.5126961049816692,91.96373693915181,0.8
