0.8
Epoch 1: Train Loss 0.014539331943437447, Test Loss 1.0938535478119478, Test Accuracy 60.99416103257529, Dropout Probability 0.3
Using downloaded and verified file: ../data/train_32x32.mat
Using downloaded and verified file: ../data/test_32x32.mat
Starting training at: 1716314186.1128
Epoch 17: Train Loss 0.00034185553671261024, Test Loss 0.3744270773701823, Test Accuracy 91.4259373079287, Dropout Probability 0.1
Epoch 16: Train Loss 0.0006613358790792149, Test Loss 0.3800036747468785, Test Accuracy 92.14428395820529, Dropout Probability 0.8
Epoch 18: Train Loss 0.00029391140601976794, Test Loss 0.4188684980489758, Test Accuracy 91.59880147510756, Dropout Probability 0.3
Epoch 18: Train Loss 0.00034175359393980205, Test Loss 0.3929477045707492, Test Accuracy 91.69867854947756, Dropout Probability 0.1
Epoch 17: Train Loss 0.0005730956598626313, Test Loss 0.35518468635244904, Test Accuracy 92.01751690227412, Dropout Probability 0.8
Epoch 19: Train Loss 0.000293391989286594, Test Loss 0.40356775493656993, Test Accuracy 91.7140442532268, Dropout Probability 0.3
Epoch 19: Train Loss 0.0002876366965487522, Test Loss 0.4199989825285646, Test Accuracy 91.52965580823601, Dropout Probability 0.1
Epoch 18: Train Loss 0.0004916776118601644, Test Loss 0.3878145880250749, Test Accuracy 91.93684695759066, Dropout Probability 0.8
Epoch 20: Train Loss 0.0002554128006503367, Test Loss 0.418865147000379, Test Accuracy 91.84849416103258, Dropout Probability 0.3
Epoch 20: Train Loss 0.00026785039012714254, Test Loss 0.4301977192762078, Test Accuracy 91.62185003073141, Dropout Probability 0.1
Epoch 19: Train Loss 0.000461185204813643, Test Loss 0.4469978746345018, Test Accuracy 90.8881376767056, Dropout Probability 0.8
Epoch 20: Train Loss 0.00041147331498341677, Test Loss 0.4463480091856972, Test Accuracy 91.76014136447449, Dropout Probability 0.8
Epoch 21: Train Loss 0.0002342614748260533, Test Loss 0.44253364954539876, Test Accuracy 91.43746158574062, Dropout Probability 0.3
Epoch 21: Train Loss 0.00024864428003646744, Test Loss 0.4160434849509888, Test Accuracy 91.31069452980947, Dropout Probability 0.1
Epoch 22: Train Loss 0.0002154077527568629, Test Loss 0.40460917022086096, Test Accuracy 91.84465273509527, Dropout Probability 0.3
Epoch 22: Train Loss 0.0002428928774188574, Test Loss 0.4747806020360383, Test Accuracy 91.379840196681, Dropout Probability 0.1
Epoch 21: Train Loss 0.00037349043626178107, Test Loss 0.408500629769708, Test Accuracy 92.09050399508297, Dropout Probability 0.8
