epoch,train_loss,test_loss,test_accuracy,dropout_probability
1,0.014539331943437447,1.0938535478119478,60.99416103257529,0.3
2,0.006046302530655757,0.5506489712106134,82.5560848186847,0.3
3,0.0035140590989957616,0.3926073776554607,88.1261524277812,0.3
4,0.0026507894727777806,0.361210409233595,88.94053472649047,0.3
5,0.002173786195826761,0.3171865238173285,90.46558082360173,0.3
6,0.0018101511167796789,0.2962107189462166,91.28380454824831,0.3
7,0.00154698863009196,0.2882130569523657,91.60264290104487,0.3
8,0.0012947869824601107,0.3001410947962634,91.51429010448679,0.3
9,0.0010829341575619904,0.2953733046800722,91.53733866011063,0.3
10,0.0009037571139419567,0.29496739609664985,91.98294406883835,0.3
11,0.000782637155049328,0.3282057334838942,91.40288875230486,0.3
12,0.0006757922835206356,0.3205357055101354,91.77550706822373,0.3
13,0.0005358064395755556,0.3247639920422836,92.02519975414874,0.3
14,0.0004714220795980626,0.3754538897729462,91.40288875230486,0.3
15,0.00043805535618571614,0.36862428509243883,91.56422864167179,0.3
16,0.0003725564171970322,0.3859127175976472,91.36447449293178,0.3
17,0.0003315441663069928,0.4090655185579887,90.91886908420406,0.3
18,0.00029391140601976794,0.4188684980489758,91.59880147510756,0.3
19,0.000293391989286594,0.40356775493656993,91.7140442532268,0.3
20,0.0002554128006503367,0.418865147000379,91.84849416103258,0.3
21,0.0002342614748260533,0.44253364954539876,91.43746158574062,0.3
22,0.0002154077527568629,0.40460917022086096,91.84465273509527,0.3
23,0.00018672796882925616,0.4747389211344001,91.50276582667486,0.3
24,0.00019253471200882054,0.44206011419876556,91.78703134603565,0.3
25,0.00016380303482083932,0.44811616005454974,91.30301167793485,0.3
26,0.0001739228485086977,0.47448436570592506,91.77550706822373,0.3
27,0.0001515226237028683,0.4533793526188171,91.5219729563614,0.3
28,0.000140786538142014,0.4481266938475062,91.9099569760295,0.3
29,0.0001419247378270888,0.456122711383278,91.87922556853104,0.3
30,0.00012740626636582192,0.45579981613393644,92.16733251382914,0.3
