Epoch,Test Loss,Test Accuracy, Time, Cumulative Time
1,1.8524072509765626,30.39,9.327068567276001,9.327068567276001
2,1.778062939453125,31.55,8.644926071166992,17.971994638442993
3,1.78886962890625,33.12,8.78291654586792,26.754911184310913
4,1.6936697875976563,36.75,8.620987892150879,35.37589907646179
5,1.60470478515625,39.3,8.654336214065552,44.030235290527344
6,1.5768328002929688,40.76,9.022530317306519,53.05276560783386
7,1.5276098510742186,42.58,8.696650505065918,61.74941611289978
8,1.5290372680664062,43.19,8.753674268722534,70.50309038162231
9,1.49345986328125,44.34,8.814467906951904,79.31755828857422
10,1.4728392944335937,43.11,8.849891901016235,88.16745018959045
11,1.448426123046875,45.66,8.745532989501953,96.91298317909241
12,1.4446246948242187,44.71,8.895965337753296,105.8089485168457
13,1.4505614501953126,44.46,8.901115655899048,114.71006417274475
14,1.45274033203125,46.22,8.927278995513916,123.63734316825867
15,1.4176720092773438,45.58,8.846931457519531,132.4842746257782
16,1.4052017211914063,46.16,9.614725112915039,142.09899973869324
17,1.3966493408203124,48.45,8.759596109390259,150.8585958480835
18,1.3630037719726562,48.25,8.572903871536255,159.43149971961975
19,1.4056544799804687,46.93,8.611913442611694,168.04341316223145
20,1.3824057983398437,48.18,8.66482138633728,176.70823454856873
21,1.403117724609375,47.98,8.877563238143921,185.58579778671265
22,1.3586350463867187,48.69,8.819361925125122,194.40515971183777
23,1.3999178466796875,47.69,8.68955111503601,203.09471082687378
24,1.4104243774414063,47.27,8.703707456588745,211.79841828346252
25,1.4399940063476562,48.28,9.168348789215088,220.9667670726776
26,1.4789244384765625,47.43,9.314915657043457,230.28168272972107
27,1.4187967529296874,48.36,8.81842565536499,239.10010838508606
28,1.4841712646484375,48.04,9.263181209564209,248.36328959465027
29,1.4517057006835938,48.24,8.767831087112427,257.1311206817627
30,1.5225017211914063,47.87,9.166690111160278,266.297810792923
31,1.5157572631835938,48.37,9.564270496368408,275.8620812892914
32,1.564414453125,47.12,8.60478687286377,284.46686816215515
33,1.6290184204101563,47.69,8.99278712272644,293.4596552848816
34,1.5865909790039063,47.48,8.659258127212524,302.1189134120941
35,1.6968956787109375,46.15,9.632356405258179,311.7512698173523
36,1.7848635986328125,47.63,9.14500904083252,320.8962788581848
37,1.7076634643554687,47.49,8.882820129394531,329.77909898757935
38,1.766829150390625,47.53,9.354544401168823,339.13364338874817
39,1.8007686279296875,47.75,9.090036869049072,348.22368025779724
40,1.8483563232421876,46.68,8.59325098991394,356.8169312477112
41,1.8411401489257813,46.7,8.9205904006958,365.737521648407
42,1.8502670776367187,46.54,8.864846467971802,374.6023681163788
43,1.9152449462890626,47.77,8.899271488189697,383.5016396045685
44,1.858487109375,48.15,8.912773609161377,392.41441321372986
45,1.9899876342773437,46.44,8.953105688095093,401.36751890182495
46,1.8437791259765626,46.81,8.797582149505615,410.16510105133057
47,2.017433581542969,46.71,9.032374858856201,419.19747591018677
48,1.9679378662109375,46.98,8.951414823532104,428.1488907337189
49,2.0052355712890626,46.28,9.166840314865112,437.315731048584
50,2.154475732421875,44.46,8.719948053359985,446.03567910194397
