Epoch,Test Loss,Test Accuracy, Time, Cumulative Time
1,1.50336435546875,43.73,9.068292379379272,9.068292379379272
2,1.3493158813476562,50.45,9.48779559135437,18.556087970733643
3,1.2405714904785157,55.63,8.741804122924805,27.297892093658447
4,1.224494610595703,56.64,8.832671403884888,36.130563497543335
5,1.0541169738769531,62.21,9.014890193939209,45.145453691482544
6,1.0158371459960938,63.36,8.96089506149292,54.106348752975464
7,0.9790369140625,65.02,8.861464023590088,62.96781277656555
8,0.9187631103515626,66.73,11.93782925605774,74.90564203262329
9,0.912502197265625,68.31,9.175902128219604,84.0815441608429
10,0.8804246032714844,69.23,8.910041332244873,92.99158549308777
11,0.8485328674316406,69.86,8.856538534164429,101.8481240272522
12,0.8933446044921876,69.3,8.951595067977905,110.7997190952301
13,0.8003594543457031,72.1,9.205057621002197,120.0047767162323
14,0.7739397094726562,72.94,9.034254550933838,129.03903126716614
15,0.7459523681640625,73.76,8.797873973846436,137.83690524101257
16,0.8168165832519532,72.45,9.173339366912842,147.01024460792542
17,0.7307813232421875,74.88,8.942116022109985,155.9523606300354
18,0.6959757141113281,75.85,8.795743703842163,164.74810433387756
19,0.7469000732421875,75.03,9.0679190158844,173.81602334976196
20,0.7123696899414063,75.82,8.676559686660767,182.49258303642273
21,0.7000852905273437,76.73,9.081323385238647,191.57390642166138
22,0.6922923889160156,76.6,9.113939762115479,200.68784618377686
23,0.7312833068847656,76.29,8.981294393539429,209.66914057731628
24,0.7223872009277343,76.58,8.918137073516846,218.58727765083313
25,0.7587764831542969,76.15,8.764091730117798,227.35136938095093
26,0.6809035461425781,78.35,9.301045656204224,236.65241503715515
27,0.7123421997070313,77.72,9.151646852493286,245.80406188964844
28,0.7901776916503906,76.63,9.325256824493408,255.12931871414185
29,0.7631753356933594,76.65,8.63546109199524,263.7647798061371
30,0.7822376159667969,78.18,8.939303874969482,272.70408368110657
31,0.7881142700195313,77.63,8.955999612808228,281.6600832939148
32,0.8311895935058594,78.54,8.897979021072388,290.5580623149872
33,0.9039260559082031,78.56,9.269155502319336,299.8272178173065
34,0.862792626953125,79.17,8.8526029586792,308.6798207759857
35,0.94312392578125,77.2,9.241563320159912,317.92138409614563
36,0.9829443969726562,78.07,9.281016111373901,327.20240020751953
37,1.02251103515625,77.3,8.97905158996582,336.18145179748535
38,1.184991748046875,76.57,10.039026021957397,346.22047781944275
39,1.0381481628417968,77.73,8.920534610748291,355.14101243019104
40,1.1051830871582031,78.44,9.16985535621643,364.31086778640747
41,1.0343611206054688,78.24,8.795820236206055,373.1066880226135
42,1.1598890380859375,77.72,8.812420129776001,381.9191081523895
43,1.1222848876953124,77.34,8.910268545150757,390.8293766975403
44,1.2839432373046875,77.48,9.599113941192627,400.4284906387329
45,1.141083447265625,78.49,8.955298662185669,409.3837893009186
46,1.2049645629882813,78.3,8.839167833328247,418.2229571342468
47,1.2033427795410157,77.17,8.72630524635315,426.9492623806
48,1.3795808715820312,77.27,8.922425031661987,435.87168741226196
49,1.38059658203125,78.36,9.652633428573608,445.52432084083557
50,1.250660479736328,77.2,9.865784168243408,455.390105009079
