bandwidthTest-D2H-Pinned-kernel3-char, Bandwidth = 7.9 GB/s, Time = 0.01784 s, Size = 141000000 bytes, NumDevsUsed = 1
bandwidthTest-D2H-Pinned-kernel3-char, Bandwidth = 7.9 GB/s, Time = 0.01951 s, Size = 154000000 bytes, NumDevsUsed = 1
bandwidthTest-D2H-Pinned-kernel3-char, Bandwidth = 7.9 GB/s, Time = 0.02113 s, Size = 167000000 bytes, NumDevsUsed = 1
bandwidthTest-D2H-Pinned-kernel3-char, Bandwidth = 7.9 GB/s, Time = 0.02280 s, Size = 180000000 bytes, NumDevsUsed = 1
bandwidthTest-D2H-Pinned-kernel3-char, Bandwidth = 7.9 GB/s, Time = 0.02448 s, Size = 193000000 bytes, NumDevsUsed = 1
bandwidthTest-D2H-Pinned-kernel3-char, Bandwidth = 7.9 GB/s, Time = 0.02604 s, Size = 206000000 bytes, NumDevsUsed = 1
bandwidthTest-D2H-Pinned-kernel3-char, Bandwidth = 7.9 GB/s, Time = 0.02770 s, Size = 219000000 bytes, NumDevsUsed = 1
bandwidthTest-D2H-Pinned-kernel3-char, Bandwidth = 7.9 GB/s, Time = 0.02932 s, Size = 232000000 bytes, NumDevsUsed = 1
bandwidthTest-D2H-Pinned-kernel3-char, Bandwidth = 7.9 GB/s, Time = 0.03091 s, Size = 245000000 bytes, NumDevsUsed = 1
bandwidthTest-D2H-Pinned-kernel3-char, Bandwidth = 7.9 GB/s, Time = 0.03262 s, Size = 258000000 bytes, NumDevsUsed = 1
bandwidthTest-D2H-Pinned-kernel3-char, Bandwidth = 7.9 GB/s, Time = 0.03581 s, Size = 283000000 bytes, NumDevsUsed = 1
bandwidthTest-D2H-Pinned-kernel3-char, Bandwidth = 7.9 GB/s, Time = 0.03889 s, Size = 308000000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 0.1 GB/s, Time = 0.00001 s, Size = 1000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 0.9 GB/s, Time = 0.00000 s, Size = 2000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 1.4 GB/s, Time = 0.00000 s, Size = 3000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 1.9 GB/s, Time = 0.00000 s, Size = 4000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 2.3 GB/s, Time = 0.00000 s, Size = 5000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 2.9 GB/s, Time = 0.00000 s, Size = 6000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 3.4 GB/s, Time = 0.00000 s, Size = 7000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 3.9 GB/s, Time = 0.00000 s, Size = 8000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 4.4 GB/s, Time = 0.00000 s, Size = 9000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 5.0 GB/s, Time = 0.00000 s, Size = 10000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 5.4 GB/s, Time = 0.00000 s, Size = 11000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 5.9 GB/s, Time = 0.00000 s, Size = 12000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 6.3 GB/s, Time = 0.00000 s, Size = 13000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 6.8 GB/s, Time = 0.00000 s, Size = 14000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 7.4 GB/s, Time = 0.00000 s, Size = 15000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 7.9 GB/s, Time = 0.00000 s, Size = 16000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 8.3 GB/s, Time = 0.00000 s, Size = 17000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 8.9 GB/s, Time = 0.00000 s, Size = 18000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 9.4 GB/s, Time = 0.00000 s, Size = 19000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 9.8 GB/s, Time = 0.00000 s, Size = 20000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 10.7 GB/s, Time = 0.00000 s, Size = 22000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 11.7 GB/s, Time = 0.00000 s, Size = 24000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 12.8 GB/s, Time = 0.00000 s, Size = 26000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 13.7 GB/s, Time = 0.00000 s, Size = 28000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 14.6 GB/s, Time = 0.00000 s, Size = 30000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 15.9 GB/s, Time = 0.00000 s, Size = 32000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 16.6 GB/s, Time = 0.00000 s, Size = 34000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 17.7 GB/s, Time = 0.00000 s, Size = 36000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 18.8 GB/s, Time = 0.00000 s, Size = 38000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 19.8 GB/s, Time = 0.00000 s, Size = 40000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 20.7 GB/s, Time = 0.00000 s, Size = 42000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 21.5 GB/s, Time = 0.00000 s, Size = 44000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 22.6 GB/s, Time = 0.00000 s, Size = 46000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 23.4 GB/s, Time = 0.00000 s, Size = 48000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 24.6 GB/s, Time = 0.00000 s, Size = 50000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 29.3 GB/s, Time = 0.00000 s, Size = 60000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 34.4 GB/s, Time = 0.00000 s, Size = 70000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 39.4 GB/s, Time = 0.00000 s, Size = 80000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 44.3 GB/s, Time = 0.00000 s, Size = 90000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 48.8 GB/s, Time = 0.00000 s, Size = 100000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 97.7 GB/s, Time = 0.00000 s, Size = 200000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 136.9 GB/s, Time = 0.00000 s, Size = 300000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 179.9 GB/s, Time = 0.00000 s, Size = 400000 bytes, NumDevsUsed = 1
bandwidthTest-D2D-kernel3-char, Bandwidth = 207.0 GB/s, Time = 0.00000 s, Size = 500000 bytes, NumDevsUsed = 1
